Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Laws (Special Provisions) No. 2 Act, 2010","Department of Law, TN Govt; District Collector; Respective Government Departments",Implementation issues; Government notifications; Administrative disputes under special provisions; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Laws (Special Provisions) Act, 2010","Department of Law, TN Govt; District Collector",Legal implementation disputes; Interpretation issues; Department-level complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Laws (Special Provisions) Act, 2007","Department of Law, TN Govt; District Collector",Implementation of special provisions; Legal clarifications; Administrative complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Metropolitan Planning Committee Act, 2009",Metropolitan Planning Committee (MPC); Municipal Corporation; Urban Development Department,Planning violations; Land use disputes; Urban development issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Apartment Ownership Act, 2022",Registrar of Apartment Ownership; Housing Department; Apartment Owners Association,Apartment registration issues; Ownership disputes; Maintenance/amenity complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Regulation of Rights and Responsibilities of Landlords and Tenants Act, 2017",Rent Controller / Tribunal; Housing Department; Civil Court (if needed),Rent disputes; Eviction issues; Repair & maintenance complaints; Tenant/landlord rights violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Apartment Ownership Act, 1994",Registrar of Apartment Ownership; Housing Department; Apartment Owners Association,Registration of apartments; Ownership disputes; Common facility management complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Slum Areas (Improvement and Clearance) Act, 1971",Tamil Nadu Urban Habitat Development Board (TNUHDB); District Housing Officer; Municipal Corporation,Slum redevelopment delays; Eviction/rehabilitation disputes; Housing allocation issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"The Tamil Nadu Inam Abolition Laws (Validation of Proceedings) Act, 1986",Revenue Department; District Collector; Taluk Office,Disputes on Inam land records; Validation of past land proceedings; Ownership and title disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Cultivating Tenants (Payment of Fair Rent) Act, 1956",Revenue Department; District Collector; Tahsildar / Sub-Registrar,Rent disputes between tenants and landlords; Non-payment of fair rent; Agricultural tenancy complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Urban Land Tax Act, 1966",Urban Local Body / Municipal Corporation; Revenue Department,Urban land tax disputes; Tax assessment issues; Payment or exemption complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Survey and Boundaries Act, 1923",Revenue Department; Taluk Office; Survey Officer,Boundary disputes; Land survey errors; Encroachment complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Cultivating Tenants Protection Act, 1955",Revenue Department; District Collector; Tahsildar,Eviction complaints; Tenant rights violations; Land ownership disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Patta Pass Book Act, 1983",Revenue Department; Taluk Office; Sub-Registrar,Patta issuance delays; Incorrect land records; Transfer or mutation disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Gudalur Janmam Estates (Abolition and Conversion into Ryotwari) Act, 1969",Revenue Department; District Collector; Tahsildar,Land ownership disputes; Conversion issues from Janmam to Ryotwari; Land record corrections; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Public Trusts (Regulation of Administration of Agricultural Lands) Act, 1961",Public Trust Office; Revenue Department; District Collector,Mismanagement of agricultural trust lands; Lease disputes; Revenue or administration complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Special Police Youth Brigade Act, 2013",State Police Department; District Superintendent of Police (SP); Police Youth Wing,Recruitment or service disputes; Complaints about Youth Brigade activities; Misconduct or grievance redressal; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Horse Race (Abolition of Turf Agencies) Act, 1979",Racing & Gambling Regulatory Authority; District Collector; Police Department,Illegal turf agencies; Horse race betting violations; Unauthorized betting operations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Prize Schemes (Prohibition) Act, 1979",Police Department; Department of Registration & Stamps; Excise & Prohibition Department,Illegal prize schemes; Lottery or contest violations; Consumer complaints about fraudulent schemes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Chennai City Police (Extension to the City of Tiruppur) Act, 2012 (Act 35 of 2012)",Chennai City Police; Tiruppur Police Commissionerate,Police jurisdiction disputes; Complaints about law enforcement; Public safety and policing issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Prohibition of Online Gambling and Regulation of Online Games Act, 2022",Police Department; TN Gaming Regulatory Authority; Cyber Crime Unit,Online gambling violations; Illegal betting websites; Fraudulent online games; Consumer complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Chennai City Police (Extension to the cities of Avadi and Tambaram) Act, 2022",Chennai City Police; Avadi & Tambaram Police Commissionerates,Police jurisdiction issues; Public complaints on law enforcement; Policing and safety grievances; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
Act Name,Authority to Approach,Typical Complaints / Requests; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Sugar Cane Cess (Validation) Act, 1963",TN Department of Agriculture; Sugar Cane Commissionerate,Disputes on cess collection; Validation of sugarcane transactions; Payment delays; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Agricultural Pest and Diseases Act, 1919",Agriculture Department; District Agriculture Officer,Pest/disease management issues; Farmer complaints; Quarantine violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Agricultural University Act, 1971",University Registrar; Vice-Chancellor; College Principals,Academic complaints; Affiliation issues; Admission and examination disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Sugarcane (Regulation of Purchase Price) Act, 2018",TN Department of Agriculture; Sugarcane Commissioner,Disputes over purchase price; Payment delays; Pricing irregularities; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Agricultural Produce Marketing Regulation Act, 1987",TN Agricultural Marketing Board; District Marketing Officer,Market price disputes; Licensing issues; Unfair trading practices; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Public Service Commission (Additional Functions) Act, 2022","TN PSC; Secretary, Public Service Commission",Recruitment disputes; Examination grievances; Eligibility issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Persons Studied in Tamil Medium Act, 2010",TN Higher Education Department; University Registrar,Reservation/eligibility issues; Admission disputes; Recognition complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Arunthathiyars Act, 2009",Backward Classes & Minorities Welfare Department; TN Educational Institutions,Reservation and quota issues; Admission disputes; Employment reservation complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Lokayukta Act, 2018",Lokayukta Office; Anti-Corruption Bureau,Corruption complaints; Administrative grievances; Malpractice reporting; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Fiscal Responsibility Act, 2003",Finance Department; Accountant General,Government financial accountability; Budget compliance complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Local Fund Audit Act, 2014",TN Local Fund Audit Department; District Collector,Audit objections; Mismanagement of local funds; Compliance issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Infrastructure Development Act, 2012",Infrastructure Department; Project Authority,Project disputes; Implementation delays; Land acquisition issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Transparency in Tenders Act, 1998",TN Tendering Authority; Vigilance Department,Tender irregularities; Corruption in procurement; Contract disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Silkworm Seed (Production, Supply, Distribution) Act, 1956",Sericulture Department; District Sericulture Officer,Supply issues; Quality complaints; Distribution disputes; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Palm Products Development Board Act, 1994",Palm Products Development Board; Agriculture Department,Board functioning complaints; Production and marketing issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Handloom Workers Act, 1981",Labour Department; Handloom Welfare Board,Worker rights; Wage disputes; Employment conditions; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Khadi and Village Industries Board Act, 1959",TN Khadi Board; District Industries Officer,Funding issues; Scheme disputes; Board administration complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Regulation of Jallikattu Act, 2009",Animal Husbandry Department; District Collector; Police,Jallikattu event regulations; Animal welfare complaints; Licensing issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Bovine Breeding Act, 2019",Animal Husbandry Department; District Veterinary Officer,Breeding regulation violations; Animal welfare complaints; Licensing issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Fisheries University Act, 2012",University Registrar; Vice-Chancellor; Fisheries Department,Academic complaints; Admission and affiliation disputes; Fisheries research issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Value Added Tax (Special Provision) Act, 2010",Commercial Taxes Department; TN VAT Officer,VAT assessment disputes; Tax arrears; Refund complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Sales Tax (Settlement of Arrears) Act, 2011",Commercial Taxes Department; Settlement Officer,Tax arrears disputes; Payment issues; Compliance complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Document Writers' Welfare Fund Act, 2022",TN Document Writers Board; Welfare Department,Fund disbursement; Registration issues; Welfare complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Industrial Township Area Development Authority Act, 1997",Industries Department; District Collector,Township development disputes; Land acquisition; Infrastructure complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Special Economic Zones (Special Provisions) Act, 2005",Industries Department; SEZ Authority,SEZ approval issues; Land acquisition disputes; Project implementation complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Mines and Minerals (Development and Regulation) Act, 1957",Mines & Minerals Department; District Mining Officer,Mining lease disputes; Regulatory compliance; Environmental violations; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Establishment of Private Law Colleges (Regulation) Act, 2018",Higher Education Department; University Registrar,Admission issues; Recognition disputes; Regulatory compliance; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu National Law University Act, 2012",University Registrar; Vice-Chancellor,Admission disputes; Academic complaints; Governance issues; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Dr. Ambedkar Law University Act, 1996",University Registrar; Vice-Chancellor,Academic issues; Affiliation disputes; Examination complaints; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
"Tamil Nadu Local Bodies Ombudsman Act, 2014",Ombudsman Office; Municipal Corporation,Grievances against local bodies; Administrative complaints; Corruption reporting; Delay in payment; Wrong calculation of wages; No appointment letter; Illegal termination; Harassment at workplace; Denial of leave; Overtime not paid; PF/ESI not provided; Contract violation; Discrimination issues; Unsafe working conditions; No payslip provided; Unauthorized deductions; Transfer without notice; Grievance not addressed; Non‑issuance of experience certificate; Final settlement delay; Bonus not paid; Maternity benefits denied; Gratuity not paid
